Old Link,Move to...,New Link,Update Nav,Update internal links,Update old reroutes,Add new reroute
/documentation/articles/beta,Beta,/documentation/beta,FALSE,FALSE,FALSE,FALSE
/documentation/articles/beta-changelog,Beta,/documentation/beta/changelog,FALSE,FALSE,FALSE,FALSE
/documentation/articles/beta-known-issues,Beta,/documentation/beta/known-issues,FALSE,FALSE,FALSE,FALSE
/documentation/articles/current-known-issues,Delete,/documentation/,FALSE,FALSE,FALSE,FALSE
/documentation/articles,Developer Articles,/documentation/developer-articles,TRUE,FALSE,FALSE,FALSE
/documentation/articles/add-a-custom-domain-to-your-site,Developer Articles,/documentation/developer-articles/add-a-custom-domain-to-your-site,TRUE,FALSE,FALSE,FALSE
/documentation/articles/add-a-custom-ssl-certificate,Developer Articles,/documentation/developer-articles/add-a-custom-ssl-certificate,TRUE,FALSE,FALSE,FALSE
/documentation/articles/add-a-team-member-to-site-sharing,Developer Articles,/documentation/developer-articles/add-a-team-member-to-site-sharing,TRUE,FALSE,FALSE,FALSE
/documentation/articles/add-an-auto-generated-ssl-certificate,Developer Articles,/documentation/developer-articles/add-an-auto-generated-ssl-certificate,TRUE,FALSE,FALSE,FALSE
/documentation/articles/add-related-links-to-your-project,Developer Articles,/documentation/developer-articles/add-related-links-to-your-project,TRUE,FALSE,FALSE,FALSE
/documentation/articles/add-sso-saml-authentication,Developer Articles,/documentation/developer-articles/add-sso-saml-authentication,TRUE,FALSE,FALSE,FALSE
/documentation/articles/adjusting-the-uploads-path,Developer Articles,/documentation/developer-articles/adjusting-the-uploads-path,TRUE,FALSE,FALSE,FALSE
/documentation/articles/allow-authenticated-users-to-log-out,Developer Articles,/documentation/developer-articles/allow-authenticated-users-to-log-out,TRUE,FALSE,FALSE,FALSE
/documentation/articles/authenticate-your-git-provider,Developer Articles,/documentation/developer-articles/authenticate-your-git-provider,TRUE,FALSE,FALSE,FALSE
/documentation/articles/best-practice-for-splitting-your-configuration-file,Developer Articles,/documentation/developer-articles/best-practice-for-splitting-your-configuration-file,TRUE,FALSE,FALSE,FALSE
/documentation/articles/best-practices-for-custom-permission-groups,Developer Articles,/documentation/developer-articles/best-practices-for-custom-permission-groups,TRUE,FALSE,FALSE,FALSE
